n,pos,pos_rate,tp,fp,fn,tn,precision,recall,f1,ap,brier,pred_pos,pred_rate,slice_var,slice_value,delta_f1_global,fp_rate_among_neg,fn_rate_among_pos
179,32,0.1787709497206704,27,64,5,83,0.2967032967032967,0.84375,0.4390243902439024,0.3293037327049652,0.1407796103359999,91,0.5083798882681564,reason_group,BURNED CABLE,-0.1358151476251605,0.4353741496598639,0.15625
140,64,0.4571428571428571,61,54,3,22,0.5304347826086957,0.953125,0.6815642458100558,0.7457628629583153,0.2000178385265462,115,0.8214285714285714,reason_group,CABLE ATTENUATED INSIDE,0.1067247079409928,0.7105263157894737,0.046875
297,114,0.3838383838383838,104,116,10,67,0.4727272727272727,0.912280701754386,0.6227544910179641,0.6316696502321547,0.1964720775200674,220,0.7407407407407407,reason_group,CABLE ATTENUATED INSIDE MUFA,0.0479149531489011,0.6338797814207651,0.087719298245614
278,70,0.2517985611510791,59,130,11,78,0.3121693121693121,0.8428571428571429,0.4555984555984556,0.4222974679225166,0.1748213192586042,189,0.6798561151079137,reason_group,CABLE BITTEN BY A RODENT,-0.1192410822706073,0.625,0.1571428571428571
124,27,0.2177419354838709,24,58,3,39,0.2926829268292683,0.8888888888888888,0.4403669724770642,0.5356393363658909,0.1543001213215792,82,0.6612903225806451,reason_group,CABLE BITTEN BY AN ANTS,-0.1344725653919987,0.5979381443298969,0.1111111111111111
83,39,0.4698795180722891,39,26,0,18,0.6,1.0,0.75,0.9423376520388704,0.1372709849176458,65,0.7831325301204819,reason_group,CONFIGURATION PROBLEM,0.175160462130937,0.5909090909090909,0.0
83,29,0.3493975903614458,29,33,0,21,0.4677419354838709,1.0,0.6373626373626373,0.8622890007233583,0.1328632618262657,62,0.7469879518072289,reason_group,CONNECTOR DAMAGE,0.0625230994935743,0.6111111111111112,0.0
510,283,0.5549019607843138,255,171,28,56,0.5985915492957746,0.901060070671378,0.7193229901269393,0.8412253667795903,0.1933341210402685,426,0.8352941176470589,reason_group,EQUIPMENT DAMAGE,0.1444834522578764,0.7533039647577092,0.0989399293286219
284,81,0.2852112676056338,72,131,9,72,0.354679802955665,0.8888888888888888,0.5070422535211268,0.6523354434585845,0.181554093382279,203,0.7147887323943662,reason_group,EQUIPMENT FREEZE,-0.0677972843479362,0.645320197044335,0.1111111111111111
640,171,0.2671875,160,226,11,243,0.4145077720207253,0.935672514619883,0.5745062836624776,0.6660048254459182,0.1371091291825848,386,0.603125,reason_group,INCIDENT BELONG TO PARTNER,-0.0003332542065853,0.4818763326226012,0.0643274853801169
75,49,0.6533333333333333,49,18,0,8,0.7313432835820896,1.0,0.8448275862068966,0.9981103552532123,0.066863688319781,67,0.8933333333333333,reason_group,LOW RECEPTION,0.2699880483378336,0.6923076923076923,0.0
