alarm_record_id,data_source,snapshot_time,severity,alarm_source_id,alarm_source_type,alarm_name,first_occurred_at,last_occurred_at,alarm_age_hours,occurrence_times,down_reason,port_oper_status,port_admin_status,clearance_status,acknowledgment_status,maintenance_status,candidate_risk_score,reason_group_candidate
alarm_00046,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00047,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00048,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00049,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00050,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00051,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00052,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00053,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00054,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00055,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00056,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00057,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:10,2017-12-15 00:24:10,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00058,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:23,2017-12-15 00:45:23,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
